@Attribute cap_words_words_ratio REAL,@Attribute amount_exclamation_marks REAL,@Attribute is_response REAL,@Attribute amount_words REAL,@Attribute word_sentence_ratio REAL,@Attribute amount_links REAL,@Attribute amount_cap_lock_words REAL,@Attribute amount_of_3_contiguous_spaces REAL,@Attribute amount_dollar_signs REAL,@Attribute amount_money REAL,@Attribute amount_percent_sign REAL,@ATTRIBUTE TARGET {0 1}
0.53125,1,0,64,32.0,5,4,0,2,0,0,1
0.17040358744394618,2,0,223,27.875,4,47,4,0,0,0,1
0.12652296157450796,1,2,1067,38.107142857142854,1,67,0,0,5,1,0
0.04891304347826087,1,1,736,46.0,0,448,66,0,0,0,0
0.3076923076923077,0,2,91,30.333333333333332,1,9,0,0,0,0,0
0.15714285714285714,0,1,70,70.0,0,4,0,2,0,0,0
0.1871508379888268,7,0,358,51.142857142857146,4,80,10,1,0,0,1
0.06153846153846154,0,1,130,26.0,0,5,0,0,0,0,0
0.13043478260869565,2,1,115,28.75,1,8,0,0,0,0,0
0.1079913606911447,0,0,463,33.07142857142857,1,16,0,2,2,3,1
0.15776241357636706,0,0,1591,46.794117647058826,9,283,4,0,0,2,1
0.14456035767511177,1,4,671,29.17391304347826,2,115,1,2,0,0,0
0.16806722689075632,2,0,238,21.636363636363637,3,116,17,0,0,1,1
0.09207708779443255,0,0,467,31.133333333333333,0,11,0,1,1,3,1
0.1794871794871795,4,0,117,39.0,4,9,0,0,0,0,1
0.22580645161290322,1,0,31,15.5,3,4,0,2,0,0,0
0.17073170731707318,1,0,41,20.5,1,4,0,0,0,1,1
0.3522727272727273,2,0,88,88.0,6,32,5,0,0,2,1
0.5517241379310345,0,1,29,9.666666666666666,0,6,0,0,0,0,0
0.11285266457680251,0,0,319,24.53846153846154,1,8,0,0,0,0,0
0.17791411042944785,0,0,163,40.75,4,5,0,0,0,0,1
0.09195402298850575,0,1,87,29.0,1,4,0,0,0,0,0
0.10344827586206896,0,0,116,29.0,0,8,0,1,0,0,0
0.11214953271028037,0,1,107,26.75,1,9,0,0,0,0,0
0.14209115281501342,0,1,373,46.625,3,99,6,0,0,0,0
0.9629629629629629,3,0,27,27.0,0,26,0,0,0,0,1
0.18811881188118812,0,1,101,25.25,0,8,0,0,0,0,0
0.18992248062015504,0,1,258,23.454545454545453,1,41,0,0,0,1,0
0.09649122807017543,0,0,456,76.0,0,18,0,1,1,0,1
0.05365126676602087,0,0,671,111.83333333333333,2,406,74,0,0,1,1
0.3333333333333333,1,0,15,15.0,0,2,0,0,1,0,1
0.14673913043478262,0,0,368,52.57142857142857,1,25,0,0,4,4,1
0.2537313432835821,0,0,67,67.0,2,23,2,0,0,0,1
0.36787564766839376,2,0,193,48.25,3,49,3,5,0,2,1
0.07547169811320754,0,0,159,17.666666666666668,3,17,0,3,0,0,1
0.18579234972677597,0,1,183,30.5,1,28,0,0,0,0,0
0.18181818181818182,0,0,11,11.0,0,2,0,0,0,0,1
0.20833333333333334,2,1,168,84.0,2,15,0,0,0,0,0
0.125,0,0,152,16.88888888888889,3,5,0,1,1,1,1
0.0,0,0,31,31.0,0,11,0,0,0,1,0
0.1111111111111111,0,1,81,40.5,1,5,0,0,0,0,0
0.2904841402337229,1,0,599,27.227272727272727,24,140,0,0,0,5,1
0.0,69,0,1,1.0,2,0,0,162,0,50,1
0.085625,2,0,1600,31.372549019607842,1,122,0,12,24,7,1
0.3346354166666667,0,0,768,109.71428571428571,1,462,54,0,0,0,1
0.6,1,0,30,30.0,1,3,0,2,0,0,1
0.1517509727626459,0,1,257,28.555555555555557,1,34,0,0,0,0,0
0.15789473684210525,0,0,95,19.0,1,8,0,0,0,163,1
0.22641509433962265,0,1,53,17.666666666666668,1,3,0,0,0,0,0
0.2,0,0,440,220.0,1,297,36,0,0,0,1
0.06911764705882353,6,1,680,170.0,2,296,34,1,1,11,1
0.10559006211180125,1,0,161,16.1,3,11,0,0,0,1,1
0.19318181818181818,5,0,88,44.0,2,17,2,0,0,1,1
0.1597222222222222,11,0,144,36.0,2,7,0,0,0,0,1
0.20754716981132076,0,0,159,53.0,2,9,0,0,0,0,0
0.10655737704918032,0,0,1098,20.71698113207547,1,21,0,0,0,0,0
0.13168724279835392,1,0,243,81.0,0,23,0,0,0,0,0
0.3125,0,1,32,16.0,1,2,0,0,0,0,0
0.16901408450704225,2,0,142,23.666666666666668,3,16,0,3,0,0,1
0.42857142857142855,2,0,84,84.0,6,27,4,0,0,2,1
0.2857142857142857,0,1,14,14.0,0,2,0,0,0,0,1
0.1827956989247312,0,1,93,11.625,2,11,0,0,0,0,0
0.25,1,0,12,12.0,0,3,0,0,0,0,1
0.1315136476426799,2,0,403,33.583333333333336,1,16,0,1,3,0,1
0.13074204946996468,2,1,283,35.375,1,20,0,0,0,0,0
0.14501510574018128,0,0,993,31.03125,1,120,0,0,0,0,0
0.25,0,1,16,16.0,0,2,0,0,0,0,1
0.2685025817555938,42,0,581,72.625,1,106,10,6,1,0,1
0.11538461538461539,0,0,26,26.0,0,3,0,0,0,0,0
0.1357142857142857,3,0,140,46.666666666666664,3,18,2,0,0,2,1
0.09333333333333334,0,1,75,25.0,2,1,0,0,0,0,0
0.5,0,0,14,14.0,1,1,0,0,0,0,0
0.17412935323383086,0,1,201,40.2,1,13,0,0,0,0,0
0.11244979919678715,1,2,249,27.666666666666668,1,23,0,0,2,0,0
0.2052980132450331,0,2,151,25.166666666666668,1,12,0,0,0,0,0
0.2830188679245283,2,0,106,35.333333333333336,2,14,0,1,0,0,1
0.24074074074074073,0,0,108,36.0,1,6,0,0,0,0,0
0.2084639498432602,3,0,638,25.52,2,21,0,0,0,0,0
0.05232558139534884,2,1,172,172.0,13,77,4,0,0,0,1
0.12389380530973451,1,0,226,12.555555555555555,6,4,0,0,1,0,1
0.016844469399213923,12,0,3562,323.8181818181818,27,2933,556,1,8,9,1
0.0781404549950544,11,0,1011,202.2,3,610,103,4,0,11,1
0.15555555555555556,0,0,270,33.75,3,6,0,0,0,0,0
0.4421768707482993,0,0,147,36.75,2,45,1,0,0,0,1
0.07560137457044673,0,0,291,291.0,0,3,0,0,2,0,0
0.24581005586592178,1,0,179,29.833333333333332,3,48,0,0,0,1,1
0.102803738317757,0,0,107,15.285714285714286,2,13,0,0,0,0,1
0.08196721311475409,0,0,61,61.0,2,10,2,0,1,0,1
0.044585987261146494,5,0,157,52.333333333333336,2,98,19,0,0,1,1
0.282560706401766,57,0,906,30.2,0,227,0,14,0,0,1
0.06175771971496437,14,0,842,842.0,1,676,111,1,0,4,1
0.19718309859154928,3,0,142,23.666666666666668,3,23,0,4,2,1,1
0.09928443649373882,0,1,1118,24.304347826086957,0,30,0,1,0,0,0
0.27485380116959063,7,0,171,171.0,4,12,0,0,0,0,1
0.10344827586206896,0,1,87,43.5,0,5,0,0,0,0,0
0.06390328151986183,15,0,579,41.357142857142854,2,19,0,1,12,0,1
0.05745212323064113,10,0,1201,1201.0,3,841,135,0,0,1,1
0.00830367734282325,3,0,1686,1686.0,39,1488,273,0,0,0,1
0.1619718309859155,3,1,142,35.5,3,14,0,0,0,0,0
0.41284403669724773,1,0,109,27.25,2,35,2,2,0,3,1
